Symbol,Trades,Net_PnL,Win_Rate
BANKNIFTY,96,527775.4614919925,38.54
FINNIFTY,87,332615.828280026,35.63
HDFCBANK,101,141247.35221998347,44.55
HINDUNILVR,119,55208.52185272209,42.02
ICICIBANK,96,188374.74083125818,39.58
INFY,116,177848.48061406074,45.69
ITC,120,56356.152866346994,38.33
LT,83,232720.08552750634,40.96
MARUTI,98,247026.63624604442,44.9
MRF,87,381605.6300309468,50.57
NIFTY,77,189787.69718332688,37.66
NTPC,116,-60810.43098805424,28.45
ONGC,110,75914.382588827,38.18
RELIANCE,87,103167.37593931977,35.63
SBIN,80,172825.17240652125,42.5
TATASTEEL,73,301792.57417003816,47.95
TCS,119,168208.51223956453,37.82
TITAN,90,309276.18492553185,46.67
UNITDSPR,89,242870.94018287887,40.45
